Tipo de Delito: Nivel 1;Tipo de Delito: Nivel 2;Tipo de Delito: Nivel 3;Tipo de Delito: Nivel 4;Nacionalidad;Periodo;Total
A Delitos;;;;Total;2024;455.705
A Delitos;;;;Total;2023;403.194
A Delitos;;;;Total;2022;426.416
A Delitos;;;;Total;2021;410.842
A Delitos;;;;Total;2020;311.271
A Delitos;;;;Total;2019;412.571
A Delitos;;;;Total;2018;406.327
A Delitos;;;;Total;2017;394.301
A Delitos;;;;Total;2016;365.202
A Delitos;;;;Total;2015;288.756
A Delitos;;;;Total;2014;277.956
A Delitos;;;;Total;2013;275.196
A Delitos;;;;Española;2024;324.232
A Delitos;;;;Española;2023;291.480
A Delitos;;;;Española;2022;316.356
A Delitos;;;;Española;2021;308.969
A Delitos;;;;Española;2020;232.479
A Delitos;;;;Española;2019;307.609
A Delitos;;;;Española;2018;307.924
A Delitos;;;;Española;2017;303.717
A Delitos;;;;Española;2016;280.750
A Delitos;;;;Española;2015;221.857
A Delitos;;;;Española;2014;213.157
A Delitos;;;;Española;2013;207.580
A Delitos;;;;País de la UE28 sin España;2024;""
A Delitos;;;;País de la UE28 sin España;2023;""
A Delitos;;;;País de la UE28 sin España;2022;""
A Delitos;;;;País de la UE28 sin España;2021;""
A Delitos;;;;País de la UE28 sin España;2020;""
A Delitos;;;;País de la UE28 sin España;2019;33.027
A Delitos;;;;País de la UE28 sin España;2018;33.517
A Delitos;;;;País de la UE28 sin España;2017;30.470
A Delitos;;;;País de la UE28 sin España;2016;28.819
A Delitos;;;;País de la UE28 sin España;2015;21.936
A Delitos;;;;País de la UE28 sin España;2014;20.607
A Delitos;;;;País de la UE28 sin España;2013;20.889
A Delitos;;;;País de la UE27_2020 sin España;2024;26.676
A Delitos;;;;País de la UE27_2020 sin España;2023;23.584
A Delitos;;;;País de la UE27_2020 sin España;2022;25.187
A Delitos;;;;País de la UE27_2020 sin España;2021;24.610
A Delitos;;;;País de la UE27_2020 sin España;2020;20.332
A Delitos;;;;País de la UE27_2020 sin España;2019;""
A Delitos;;;;País de la UE27_2020 sin España;2018;""
A Delitos;;;;País de la UE27_2020 sin España;2017;""
A Delitos;;;;País de la UE27_2020 sin España;2016;""
A Delitos;;;;País de la UE27_2020 sin España;2015;""
A Delitos;;;;País de la UE27_2020 sin España;2014;""
A Delitos;;;;País de la UE27_2020 sin España;2013;""
A Delitos;;;;País de Europa menos UE28;2024;""
A Delitos;;;;País de Europa menos UE28;2023;""
A Delitos;;;;País de Europa menos UE28;2022;""
A Delitos;;;;País de Europa menos UE28;2021;""
A Delitos;;;;País de Europa menos UE28;2020;""
A Delitos;;;;País de Europa menos UE28;2019;7.665
A Delitos;;;;País de Europa menos UE28;2018;5.922
A Delitos;;;;País de Europa menos UE28;2017;4.984
A Delitos;;;;País de Europa menos UE28;2016;4.289
A Delitos;;;;País de Europa menos UE28;2015;3.010
A Delitos;;;;País de Europa menos UE28;2014;2.466
A Delitos;;;;País de Europa menos UE28;2013;2.126
A Delitos;;;;País de Europa menos UE27_2020;2024;9.227
A Delitos;;;;País de Europa menos UE27_2020;2023;8.342
A Delitos;;;;País de Europa menos UE27_2020;2022;8.183
A Delitos;;;;País de Europa menos UE27_2020;2021;7.777
A Delitos;;;;País de Europa menos UE27_2020;2020;6.641
A Delitos;;;;País de Europa menos UE27_2020;2019;""
A Delitos;;;;País de Europa menos UE27_2020;2018;""
A Delitos;;;;País de Europa menos UE27_2020;2017;""
A Delitos;;;;País de Europa menos UE27_2020;2016;""
A Delitos;;;;País de Europa menos UE27_2020;2015;""
A Delitos;;;;País de Europa menos UE27_2020;2014;""
A Delitos;;;;País de Europa menos UE27_2020;2013;""
A Delitos;;;;De Africa;2024;45.541
A Delitos;;;;De Africa;2023;37.316
A Delitos;;;;De Africa;2022;36.289
A Delitos;;;;De Africa;2021;32.696
A Delitos;;;;De Africa;2020;24.009
A Delitos;;;;De Africa;2019;30.198
A Delitos;;;;De Africa;2018;27.649
A Delitos;;;;De Africa;2017;25.859
A Delitos;;;;De Africa;2016;23.575
A Delitos;;;;De Africa;2015;18.277
A Delitos;;;;De Africa;2014;17.534
A Delitos;;;;De Africa;2013;18.152
A Delitos;;;;De América;2024;46.255
A Delitos;;;;De América;2023;39.244
A Delitos;;;;De América;2022;36.937
A Delitos;;;;De América;2021;33.539
A Delitos;;;;De América;2020;25.316
A Delitos;;;;De América;2019;30.448
A Delitos;;;;De América;2018;27.879
A Delitos;;;;De América;2017;26.009
